vizType,trial,groundTruth,response,responseTimeMs
circle_area,1,23,40,15493
circle_area,2,43,50,7032
circle_area,3,64,70,7173
circle_area,4,57,60,5378
circle_area,5,71,77,11000
circle_area,6,86,82,4922
circle_area,7,30,22,6640
circle_area,8,35,27,5386
circle_area,9,14,14,4691
pie_angle,10,35,30,13979
pie_angle,11,71,80,33982
pie_angle,12,64,70,5224
pie_angle,13,43,50,9374
pie_angle,14,86,90,10328
pie_angle,15,14,21,7813
pie_angle,16,23,32,3734
pie_angle,17,30,41,5266
pie_angle,18,57,68,4872
color_saturation,19,14,26,50125
color_saturation,20,35,40,7955
color_saturation,21,71,51,6184
color_saturation,22,86,82,6878
color_saturation,23,30,17,7949
color_saturation,24,64,60,18142
color_saturation,25,57,48,4558
color_saturation,26,43,39,5117
color_saturation,27,23,11,8122
stacked_bars,28,23,14,33201
stacked_bars,29,14,10,37616
stacked_bars,30,43,42,50501
stacked_bars,31,30,33,55212
stacked_bars,32,57,50,71781
stacked_bars,33,35,40,78005
stacked_bars,34,86,84,86705
stacked_bars,35,71,70,92951
stacked_bars,36,64,59,104631
star_area,37,86,82,6908
star_area,38,64,71,12275
star_area,39,30,50,11185
star_area,40,57,60,4323
star_area,41,35,43,5643
star_area,42,14,20,9683
star_area,43,23,30,5240
star_area,44,43,40,6019
star_area,45,71,72,6377
color_luminance,46,57,70,96112
color_luminance,47,43,50,58949
color_luminance,48,64,80,5370
color_luminance,49,30,13,8101
color_luminance,50,23,10,4529
color_luminance,51,86,84,16999
color_luminance,52,14,14,14284
color_luminance,53,71,70,7533
color_luminance,54,35,39,17613
line_slope,55,57,30,92739
line_slope,56,43,70,15947
line_slope,57,35,22,5025
line_slope,58,23,53,1900
line_slope,59,71,12,4200
line_slope,60,30,22,3216
line_slope,61,14,30,2128
line_slope,62,64,40,2589
line_slope,63,86,11,3766
aligned_bars,64,86,68,11276
aligned_bars,65,64,60,5601
aligned_bars,66,43,40,3806
aligned_bars,67,35,34,7817
aligned_bars,68,71,66,4931
aligned_bars,69,14,12,3497
aligned_bars,70,23,22,3301
aligned_bars,71,30,34,14469
aligned_bars,72,57,51,17574